# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 124.492 h/Mpc,
# number of wavenumbers equal to 713
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       6.476728646525e-03      -1.582456024458e+00      -3.478809720748e+02      -3.480348269304e+02      -1.578884097778e+00      -3.479046336785e+02       3.947210244445e-01       3.947210244445e-01 
       6.598480053652e-03      -1.576806404025e+00      -3.597384265425e+02      -3.599014834975e+02      -1.573247230560e+00      -3.597661937669e+02       3.933118076400e-01       3.933118076400e-01 
       6.720342232080e-03      -1.571166222101e+00      -3.717593593463e+02      -3.719320544845e+02      -1.567619780081e+00      -3.717915479771e+02       3.919049450201e-01       3.919049450201e-01 
       6.842310048746e-03      -1.565536317919e+00      -3.839411517750e+02      -3.841239403047e+02      -1.562002585993e+00      -3.839780944230e+02       3.905006464981e-01       3.905006464981e-01 
       6.964378720865e-03      -1.559916415291e+00      -3.962819063373e+02      -3.964752385008e+02      -1.556395369333e+00      -3.963239320279e+02       3.890988423332e-01       3.890988423332e-01 
       7.086543788662e-03      -1.554306327022e+00      -4.087791271478e+02      -4.089834728336e+02      -1.550797943537e+00      -4.088265821307e+02       3.876994858842e-01       3.876994858842e-01 
       7.208801090585e-03      -1.548710018679e+00      -4.214304392259e+02      -4.216462653093e+02      -1.545214271291e+00      -4.214836679489e+02       3.863035678227e-01       3.863035678227e-01 
       7.331146740743e-03      -1.543121883603e+00      -4.342339867486e+02      -4.344617713191e+02      -1.539638747558e+00      -4.342933436205e+02       3.849096868894e-01       3.849096868894e-01 
       7.453577108344e-03      -1.537545702940e+00      -4.471878641413e+02      -4.474280894765e+02      -1.534075148028e+00      -4.472537076617e+02       3.835187870069e-01       3.835187870069e-01 
       7.576088798944e-03      -1.531984166986e+00      -4.602888777515e+02      -4.605420400617e+02      -1.528526166212e+00      -4.603615790688e+02       3.821315415531e-01       3.821315415531e-01 
       7.698678637324e-03      -1.526435106651e+00      -4.735352495710e+02      -4.738018615637e+02      -1.522989632001e+00      -4.736151941999e+02       3.807474080003e-01       3.807474080003e-01 
       7.821343651836e-03      -1.520899003017e+00      -4.869249388143e+02      -4.872055198658e+02      -1.517466024911e+00      -4.870125184792e+02       3.793665062277e-01       3.793665062277e-01 
       7.944081060080e-03      -1.515376081044e+00      -5.004556420240e+02      -5.007507372988e+02      -1.511955569841e+00      -5.005512707632e+02       3.779888924601e-01       3.779888924601e-01 
       8.066888255784e-03      -1.509867098357e+00      -5.141253289535e+02      -5.144355008195e+02      -1.506459022785e+00      -5.142294358409e+02       3.766147556962e-01       3.766147556962e-01 
       8.189762796781e-03      -1.504372014557e+00      -5.279318337234e+02      -5.282576675687e+02      -1.500976343650e+00      -5.280448677848e+02       3.752440859124e-01       3.752440859124e-01 
       8.312702393963e-03      -1.498890217321e+00      -5.418729693397e+02      -5.422150661455e+02      -1.495506920551e+00      -5.419953933344e+02       3.738767301378e-01       3.738767301378e-01 
