# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01244e-05 to 163.241 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       8.156325728484e-04      -2.542003043996e+00      -7.943196769391e+00      -7.943990650841e+00      -2.523240363668e+00      -7.793870560833e+00      -7.793870560833e+00      -7.793870560833e+00      -7.941506838360e+00       4.598574856524e-01       4.598614127844e-01 
       8.699819817592e-04      -2.537101416757e+00      -8.809363389946e+00      -8.810331798344e+00      -2.529642338389e+00      -8.618115067435e+00      -8.618115067435e+00      -8.618115067435e+00      -8.807273977257e+00       4.594475855098e-01       4.594501411404e-01 
       9.277665379262e-04      -2.548108789370e+00      -9.789952227916e+00      -9.791125568510e+00      -2.551343571803e+00      -9.545565728524e+00      -9.545565728524e+00      -9.545565728524e+00      -9.787366924276e+00       4.589952519386e-01       4.589965274900e-01 
       9.890605550501e-04      -2.561557171238e+00      -1.089701809572e+01      -1.089842929915e+01      -2.572782248633e+00      -1.058563132451e+01      -1.058563132451e+01      -1.058563132451e+01      -1.089381348035e+01       4.584973043987e-01       4.584976529132e-01 
       1.053903645098e-03      -2.560863482319e+00      -1.214281736287e+01      -1.214450103989e+01      -2.575490420379e+00      -1.174747353001e+01      -1.174747353001e+01      -1.174747353001e+01      -1.213883754639e+01       4.579509858319e-01       4.579509003620e-01 
       1.122298639702e-03      -2.533180626707e+00      -1.353956677058e+01      -1.354155860214e+01      -2.545665877724e+00      -1.303975630956e+01      -1.303975630956e+01      -1.303975630956e+01      -1.353461931110e+01       4.573538403286e-01       4.573537841830e-01 
       1.194211346097e-03      -2.477000683844e+00      -1.509920727139e+01      -1.510154275287e+01      -2.482365927986e+00      -1.447042219248e+01      -1.447042219248e+01      -1.447042219248e+01      -1.509306006825e+01       4.567042396762e-01       4.567044856765e-01 
       1.269572181179e-03      -2.405919244217e+00      -1.683316501529e+01      -1.683587890068e+01      -2.401352949400e+00      -1.604648944340e+01      -1.604648944340e+01      -1.604648944340e+01      -1.682554483390e+01       4.560011696100e-01       4.560017179109e-01 
       1.348279509159e-03      -2.344138049099e+00      -1.875209988941e+01      -1.875522585911e+01      -2.329939472508e+00      -1.777386647877e+01      -1.777386647877e+01      -1.777386647877e+01      -1.874269092562e+01       4.552431539200e-01       4.552437747174e-01 
       1.430204323406e-03      -2.313376651414e+00      -2.086584811236e+01      -2.086941772103e+01      -2.292687954795e+00      -1.965735913078e+01      -1.965735913078e+01      -1.965735913078e+01      -2.085428823445e+01       4.544311583419e-01       4.544315469316e-01 
       1.515195796064e-03      -2.317612667641e+00      -2.318323317806e+01      -2.318727685214e+01      -2.295016510975e+00      -2.170058321804e+01      -2.170058321804e+01      -2.170058321804e+01      -2.316911012546e+01       4.535662417570e-01       4.535662063511e-01 
       1.603087185090e-03      -2.336908782652e+00      -2.571198419162e+01      -2.571653214397e+01      -2.316670651762e+00      -2.390598577468e+01      -2.390598577468e+01      -2.390598577468e+01      -2.569483157302e+01       4.526495115814e-01       4.526490843342e-01 
       1.693701631244e-03      -2.338300344422e+00      -2.845872823153e+01      -2.846381178529e+01      -2.323244533888e+00      -2.627492903882e+01      -2.627492903882e+01      -2.627492903882e+01      -2.843802465676e+01       4.516824717915e-01       4.516818729928e-01 
       1.786857474953e-03      -2.299580369598e+00      -3.142900018372e+01      -3.143465451093e+01      -2.290976475435e+00      -2.880778369261e+01      -2.880778369261e+01      -2.880778369261e+01      -3.140417458553e+01       4.506670236417e-01       4.506665039554e-01 
       1.882372846109e-03      -2.228809417439e+00      -3.462730129678e+01      -3.463356749005e+01      -2.226693195995e+00      -3.150404920633e+01      -3.150404920633e+01      -3.150404920633e+01      -3.459774174194e+01       4.496055726393e-01       4.496052453267e-01 
       1.980069402286e-03      -2.161312133215e+00      -3.805715941715e+01      -3.806408745948e+01      -2.164367717085e+00      -3.436245326725e+01      -3.436245326725e+01      -3.436245326725e+01      -3.802222248048e+01       4.485007591254e-01       4.485005433963e-01 
       2.079775194261e-03      -2.132425635168e+00      -4.172122583457e+01      -4.172887639040e+01      -2.137413437869e+00      -3.738106100816e+01      -3.738106100816e+01      -3.738106100816e+01      -4.168024023066e+01       4.473554321090e-01       4.473551437832e-01 
       2.181326713098e-03      -2.146947839652e+00      -4.562136392925e+01      -4.562980970378e+01      -2.148853487048e+00      -4.055735420068e+01      -4.055735420068e+01      -4.055735420068e+01      -4.557362823280e+01       4.461724357946e-01       4.461719455621e-01 
       2.284570219489e-03      -2.173440527512e+00      -4.975873363460e+01      -4.976806110793e+01      -2.167458678391e+00      -4.388829015034e+01      -4.388829015034e+01      -4.388829015034e+01      -4.970351304391e+01       4.449544738340e-01       4.449538026103e-01 
       2.389362477613e-03      -2.171698923108e+00      -5.413392032329e+01      -5.414422685645e+01      -2.156336699811e+00      -4.737038709905e+01      -4.737038709905e+01      -4.737038709905e+01      -5.407044405403e+01       4.437044851363e-01       4.437037658046e-01 
       2.495571018853e-03      -2.129851518027e+00      -5.874694717829e+01      -5.875834287962e+01      -2.108507334762e+00      -5.099970148862e+01      -5.099970148862e+01      -5.099970148862e+01      -5.867441609958e+01       4.424249277141e-01       4.424242805355e-01 
       2.603074051826e-03      -2.075207323180e+00      -6.359743851199e+01      -6.361004124821e+01      -2.054068229843e+00      -5.477194398829e+01      -5.477194398829e+01      -5.477194398829e+01      -6.351502855553e+01       4.411186657434e-01       4.411181046452e-01 
       2.711760119816e-03      -2.046518919954e+00      -6.868461541546e+01      -6.869854974881e+01      -2.029863961268e+00      -5.868245186668e+01      -5.868245186668e+01      -5.868245186668e+01      -6.859147908156e+01       4.397881671525e-01       4.397876143039e-01 
       2.821527588927e-03      -2.054478923406e+00      -7.400739042581e+01      -7.402278441751e+01      -2.041477906816e+00      -6.272626419760e+01      -6.272626419760e+01      -6.272626419760e+01      -7.390264927405e+01       4.384358121370e-01       4.384351913208e-01 
