# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01244e-05 to 163.241 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       7.167915877150e-04      -2.619139317101e+00      -6.508077260333e+00      -6.508671572399e+00      -2.582460806015e+00      -6.417528560840e+00      -6.417528560840e+00      -6.417528560840e+00      -6.507036803700e+00       4.605626103104e-01       4.605684124680e-01 
       7.646129584464e-04      -2.568090115096e+00      -7.179722379559e+00      -7.180457781022e+00      -2.540587128731e+00      -7.063414470258e+00      -7.063414470258e+00      -7.063414470258e+00      -7.178431132871e+00       4.602274838669e-01       4.602326488774e-01 
       8.156325728484e-04      -2.539251352745e+00      -7.943086581138e+00      -7.943991983371e+00      -2.523236045297e+00      -7.793871856287e+00      -7.793871856287e+00      -7.793871856287e+00      -7.941489824758e+00       4.598565188079e-01       4.598605366912e-01 
       8.699819817592e-04      -2.533219131474e+00      -8.809222670635e+00      -8.810331123541e+00      -2.529636352140e+00      -8.618114331190e+00      -8.618114331190e+00      -8.618114331190e+00      -8.807250188185e+00       4.594463345636e-01       4.594489781473e-01 
       9.277665379262e-04      -2.543599440624e+00      -9.789773510667e+00      -9.791121840694e+00      -2.551335821128e+00      -9.545561935446e+00      -9.545561935446e+00      -9.545561935446e+00      -9.787334376028e+00       4.589936979416e-01       4.589950475263e-01 
       9.890605550501e-04      -2.557235742864e+00      -1.089679305716e+01      -1.089842161482e+01      -2.572772459398e+00      -1.058562359327e+01      -1.058562359327e+01      -1.058562359327e+01      -1.089377022697e+01       4.584954554837e-01       4.584958537875e-01 
       1.053903645098e-03      -2.557738642032e+00      -1.214253561086e+01      -1.214448738624e+01      -2.575478469796e+00      -1.174745981701e+01      -1.174745981701e+01      -1.174745981701e+01      -1.213878041319e+01       4.579487919585e-01       4.579487251436e-01 
       1.122298639702e-03      -2.532197551394e+00      -1.353921726070e+01      -1.354153713996e+01      -2.545651672884e+00      -1.303973478544e+01      -1.303973478544e+01      -1.303973478544e+01      -1.353454515381e+01       4.573512979815e-01       4.573512283821e-01 
       1.194211346097e-03      -2.478683411595e+00      -1.509877804668e+01      -1.510151131668e+01      -2.482349699743e+00      -1.447039073428e+01      -1.447039073428e+01      -1.447039073428e+01      -1.509296524780e+01       4.567013482150e-01       4.567015548739e-01 
       1.269572181179e-03      -2.410036322186e+00      -1.683264358079e+01      -1.683583504813e+01      -2.401334873772e+00      -1.604644559676e+01      -1.604644559676e+01      -1.604644559676e+01      -1.682542525754e+01       4.559978836056e-01       4.559983792655e-01 
       1.348279509159e-03      -2.349576292214e+00      -1.875147357406e+01      -1.875516676987e+01      -2.329919980019e+00      -1.777380746817e+01      -1.777380746817e+01      -1.777380746817e+01      -1.874254199848e+01       4.552395438948e-01       4.552401144572e-01 
       1.430204323406e-03      -2.318379526840e+00      -2.086510507663e+01      -2.086934071082e+01      -2.292666953284e+00      -1.965728227866e+01      -1.965728227866e+01      -1.965728227866e+01      -2.085410549410e+01       4.544271866422e-01       4.544275413638e-01 
