# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=5.23499e-06 to 105.958 h/Mpc,
# number of wavenumbers equal to 575
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       8.335575504646e-04      -1.995825122999e+00      -2.405313332395e+01      -2.405666772346e+01      -1.999385544470e+00      -2.120224689524e+01      -2.120224689524e+01      -2.120224689524e+01      -2.387390616163e+01       2.587218106348e-01       2.587250510867e-01 
       8.746503597512e-04      -1.979344122369e+00      -2.608540632901e+01      -2.608929051127e+01      -1.977166547821e+00      -2.275405504469e+01      -2.275405504469e+01      -2.275405504469e+01      -2.587772894013e+01       2.565711806607e-01       2.565730971670e-01 
       9.176521007166e-04      -1.927966629932e+00      -2.828747625069e+01      -2.829176403513e+01      -1.916561780093e+00      -2.440619311309e+01      -2.440619311309e+01      -2.440619311309e+01      -2.804733148903e+01       2.543180652123e-01       2.543196266169e-01 
       9.625919538105e-04      -1.843126563940e+00      -3.066840669895e+01      -3.067315573589e+01      -1.821433688639e+00      -2.616068483345e+01      -2.616068483345e+01      -2.616068483345e+01      -3.039138411488e+01       2.519656476191e-01       2.519674617435e-01 
       1.009488374601e-03      -1.751009232265e+00      -3.323672541049e+01      -3.324199346470e+01      -1.721527551781e+00      -2.801891512559e+01      -2.801891512559e+01      -2.801891512559e+01      -3.291804221928e+01       2.495178506808e-01       2.495198819885e-01 
       1.058348563534e-03      -1.686708672308e+00      -3.600026427161e+01      -3.600610579089e+01      -1.654778952806e+00      -2.998154384142e+01      -2.998154384142e+01      -2.998154384142e+01      -3.563477385665e+01       2.469802928889e-01       2.469820076779e-01 
       1.109168247895e-03      -1.665830053865e+00      -3.896601142088e+01      -3.897247519252e+01      -1.636993271955e+00      -3.204841728174e+01      -3.204841728174e+01      -3.204841728174e+01      -3.854818536896e+01       2.443593922235e-01       2.443602617898e-01 
       1.161931791804e-03      -1.666403193432e+00      -4.214001504738e+01      -4.214714316038e+01      -1.643391367975e+00      -3.421851336593e+01      -3.421851336593e+01      -3.421851336593e+01      -4.166390852309e+01       2.416621938755e-01       2.416621813182e-01 
       1.216612628519e-03      -1.643713917540e+00      -4.552720946200e+01      -4.553504090882e+01      -1.625302140896e+00      -3.648980281042e+01      -3.648980281042e+01      -3.648980281042e+01      -4.498644429081e+01       2.388957519979e-01       2.388953640344e-01 
       1.273173988175e-03      -1.573505580806e+00      -4.913146787813e+01      -4.914004204085e+01      -1.555981247740e+00      -3.885930443426e+01      -3.885930443426e+01      -3.885930443426e+01      -4.851926116105e+01       2.360681282636e-01       2.360679598501e-01 
       1.331569876070e-03      -1.483328875342e+00      -5.295551072301e+01      -5.296487433952e+01      -1.462687393786e+00      -4.132301207455e+01      -4.132301207455e+01      -4.132301207455e+01      -5.226473754465e+01       2.331881084989e-01       2.331882988396e-01 
       1.391746243361e-03      -1.430585581139e+00      -5.700080655193e+01      -5.701102256449e+01      -1.402862944150e+00      -4.387583457697e+01      -4.387583457697e+01      -4.387583457697e+01      -5.622404183221e+01       2.302645227105e-01       2.302646761925e-01 
       1.453642284904e-03      -1.439033341617e+00      -6.126774388795e+01      -6.127889468735e+01      -1.399161807355e+00      -4.651178772748e+01      -4.651178772748e+01      -4.651178772748e+01      -6.039723835796e+01       2.273064180715e-01       2.273060847150e-01 
       1.517191797952e-03      -1.464465890616e+00      -6.575557366469e+01      -6.576776272188e+01      -1.407438496419e+00      -4.922402190365e+01      -4.922402190365e+01      -4.922402190365e+01      -6.478319846805e+01       2.243221165825e-01       2.243212985296e-01 
       1.582324539897e-03      -1.441664476347e+00      -7.046256309059e+01      -7.047590895399e+01      -1.367809445198e+00      -5.200505136702e+01      -5.200505136702e+01      -5.200505136702e+01      -6.937980774684e+01       2.213196218024e-01       2.213187203900e-01 
       1.648967531945e-03      -1.364516452788e+00      -7.538602754301e+01      -7.540065575701e+01      -1.259345724906e+00      -5.484647609860e+01      -5.484647609860e+01      -5.484647609860e+01      -7.418406514844e+01       2.183066864116e-01       2.183061204906e-01 
       1.717046266833e-03      -1.292676756004e+00      -8.052237375886e+01      -8.053840926492e+01      -1.119029032008e+00      -5.773842019909e+01      -5.773842019909e+01      -5.773842019909e+01      -7.919210006893e+01       2.152905232659e-01       2.152903086089e-01 
       1.786485790977e-03      -1.266620306664e+00      -8.586735310857e+01      -8.588491100544e+01      -1.041695387034e+00      -6.067275887973e+01      -6.067275887973e+01      -6.067275887973e+01      -8.439949887176e+01       2.122783604192e-01       2.122781416342e-01 
       1.857211643349e-03      -1.250179475299e+00      -9.141607208043e+01      -9.143525734267e+01      -1.029989787808e+00      -6.364177714709e+01      -6.364177714709e+01      -6.364177714709e+01      -8.980118079129e+01       2.092766595916e-01       2.092764027834e-01 
       1.929150643947e-03      -1.193227887189e+00      -9.716296344866e+01      -9.718387987028e+01      -9.974618137039e-01      -6.663821560922e+01      -6.663821560922e+01      -6.663821560922e+01      -9.539143906363e+01       2.062908565454e-01       2.062907948623e-01 
       2.002231533376e-03      -1.121785851291e+00      -1.031021025124e+02      -1.031248625855e+02      -9.199872989758e-01      -6.965535183888e+01      -6.965535183888e+01      -6.965535183888e+01      -1.011643388567e+02       2.033261961685e-01       2.033263920400e-01 
       2.076385471563e-03      -1.102627436586e+00      -1.092271898394e+02      -1.092519268092e+02      -8.691620767059e-01      -7.268679184872e+01      -7.268679184872e+01      -7.268679184872e+01      -1.071136524390e+02       2.003874055604e-01       2.003876232146e-01 
