# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)A_nudm[0]          15:(.)rho_ncdm[1]        16:(.)p_ncdm[1]          17:(.)A_nudm[1]          18:(.)rho_ncdm[2]        19:(.)p_ncdm[2]          20:(.)A_nudm[2]          21:(.)rho_lambda         22:(.)rho_ur             23:(.)rho_crit           24:(.)rho_tot            25:(.)p_tot              26:(.)p_tot_prime        27:gr.fac. D             28:gr.fac. f          
       8.943931639467e+13       9.448845501199e-26       5.180481821299e-09       1.725905971514e+22       2.755658789278e+04       3.081037400955e-10       2.464642383300e+18       2.991925067116e-09       1.760730780460e+44       1.769634067068e+33       7.960567103319e+14       4.051524814257e+43       1.350508271419e+43       1.900705202783e-07       4.051524814257e+43       1.350508271419e+43       1.900705202783e-07       4.051524814257e+43       1.350508271419e+43       1.900705202783e-07       5.084621489637e-08       2.563197754348e+41       2.978751422509e+44       2.978751422509e+44       9.929171408304e+43      -7.664108768525e+52       1.311493128488e-05       8.959785097278e+00 
       8.881759324198e+13       9.581592331645e-26       5.216861609370e-09       1.701994648695e+22       2.755658789278e+04       3.102604662762e-10       2.447509814598e+18       3.012868542586e-09       1.712281144399e+44       1.732986017345e+33       7.795708580049e+14       3.940039909853e+43       1.313346636618e+43       1.874372148469e-07       3.940039909853e+43       1.313346636618e+43       1.874372148469e-07       3.940039909853e+43       1.313346636618e+43       1.874372148469e-07       5.084621489637e-08       2.492666813600e+41       2.896785784186e+44       2.896785784186e+44       9.655952613896e+43      -7.401407346010e+52       1.393461449019e-05       8.432738915085e+00 
       8.820019189868e+13       9.716204122312e-26       5.253241397440e-09       1.678414601952e+22       2.755658789278e+04       3.124322895401e-10       2.430496340217e+18       3.033958622384e-09       1.665164686165e+44       1.697096926535e+33       7.634264176946e+14       3.831622710690e+43       1.277207570230e+43       1.848403921772e-07       3.831622710690e+43       1.277207570230e+43       1.848403921772e-07       3.831622710690e+43       1.277207570230e+43       1.848403921772e-07       5.084621489637e-08       2.424076657013e+41       2.817075576046e+44       2.817075576046e+44       9.390251920097e+43      -7.147710497866e+52       1.475429769549e-05       7.964253419803e+00 
       8.758708232243e+13       9.852707074026e-26       5.293259164318e-09       1.655161241668e+22       2.755658789278e+04       3.146193155669e-10       2.413601132291e+18       3.055196332741e-09       1.619344721000e+44       1.661951077059e+33       7.476163189651e+14       3.726188803409e+43       1.242062934470e+43       1.822795468238e-07       3.726188803409e+43       1.242062934470e+43       1.822795468238e-07       3.726188803409e+43       1.242062934470e+43       1.822795468238e-07       5.084621489637e-08       2.357373880462e+41       2.739558735920e+44       2.739558735920e+44       9.131862453011e+43      -6.902709575746e+52       1.557398090080e-05       7.545082187182e+00 
       8.697823467967e+13       9.991127755709e-26       5.329638952389e-09       1.632230041811e+22       2.755658789278e+04       3.168216507759e-10       2.396823368710e+18       3.076582707070e-09       1.574785573594e+44       1.627533076840e+33       7.321336378046e+14       3.623656097432e+43       1.207885365811e+43       1.797541803442e-07       3.623656097432e+43       1.207885365811e+43       1.797541803442e-07       3.623656097432e+43       1.207885365811e+43       1.797541803442e-07       5.084621489637e-08       2.292506549332e+41       2.664174909389e+44       2.664174909389e+44       8.880583031243e+43      -6.666106510794e+52       1.639366410610e-05       7.167828077822e+00 
       8.637361934426e+13       1.013149310955e-25       5.366018740460e-09       1.609616539053e+22       2.755658789278e+04       3.190394023313e-10       2.380162233078e+18       3.098118786019e-09       1.531452550306e+44       1.593827852559e+33       7.169715935936e+14       3.523944761050e+43       1.174648253683e+43       1.772638012011e-07       3.523944761050e+43       1.174648253683e+43       1.772638012011e-07       3.523944761050e+43       1.174648253683e+43       1.772638012011e-07       5.084621489637e-08       2.229424158081e+41       2.590865402794e+44       2.590865402794e+44       8.636218009262e+43      -6.437613451012e+52       1.721334731141e-05       6.826502931259e+00 
       8.577320689599e+13       1.027383045625e-25       5.402398528531e-09       1.587316331907e+22       2.755658789278e+04       3.212726781476e-10       2.363616914675e+18       3.119805617521e-09       1.489311912151e+44       1.560820643058e+33       7.021235461351e+14       3.426977159264e+43       1.142325719755e+43       1.748079246675e-07       3.426977159264e+43       1.142325719755e+43       1.748079246675e-07       3.426977159264e+43       1.142325719755e+43       1.748079246675e-07       5.084621489637e-08       2.168077590915e+41       2.519573137537e+44       2.519573137537e+44       8.398577125072e+43      -6.216952411058e+52       1.803303051671e-05       6.516207343475e+00 
       8.517696811915e+13       1.041816750032e-25       5.442416295409e-09       1.565325079860e+22       2.755658789278e+04       3.235215868947e-10       2.347186608416e+18       3.141644256844e-09       1.448330848536e+44       1.528496992876e+33       6.875829927465e+14       3.332677793344e+43       1.110892597781e+43       1.723860727317e-07       3.332677793344e+43       1.110892597781e+43       1.723860727317e-07       3.332677793344e+43       1.110892597781e+43       1.723860727317e-07       5.084621489637e-08       2.108419083552e+41       2.450242605638e+44       2.450242605638e+44       8.167475352074e+43      -6.003854934049e+52       1.885271372202e-05       6.232893980715e+00 
       8.458487400115e+13       1.056453233554e-25       5.478796083480e-09       1.543638502538e+22       2.755658789278e+04       3.257862380029e-10       2.330870514813e+18       3.163635766642e-09       1.408477451704e+44       1.496842745911e+33       6.733435654119e+14       3.240973242037e+43       1.080324414012e+43       1.699977740047e-07       3.240973242037e+43       1.080324414012e+43       1.699977740047e-07       3.240973242037e+43       1.080324414012e+43       1.699977740047e-07       5.084621489637e-08       2.050402186026e+41       2.382819826516e+44       2.382819826516e+44       7.942732755004e+43      -5.798061764956e+52       1.967239692732e-05       5.973190064852e+00 
       8.399689573103e+13       1.071295345032e-25       5.518813850358e-09       1.522252378867e+22       2.755658789278e+04       3.280667416689e-10       2.314667839933e+18       3.185781217008e-09       1.369720691902e+44       1.465844039229e+33       6.593990279931e+14       3.151792104409e+43       1.050597368136e+43       1.676425636283e-07       3.151792104409e+43       1.050597368136e+43       1.676425636283e-07       3.151792104409e+43       1.050597368136e+43       1.676425636283e-07       5.084621489637e-08       1.993981726525e+41       2.317252304966e+44       2.317252304966e+44       7.724174349837e+43      -5.599322535191e+52       2.049208013263e-05       5.734262462258e+00 
       8.341300469814e+13       1.086345973334e-25       5.555193638429e-09       1.501162546255e+22       2.755658789278e+04       3.303632088606e-10       2.298577795366e+18       3.208081685527e-09       1.332030393213e+44       1.435487296987e+33       6.457432734985e+14       3.065064944248e+43       1.021688314749e+43       1.653199831845e-07       3.065064944248e+43       1.021688314749e+43       1.653199831845e-07       3.065064944248e+43       1.021688314749e+43       1.653199831845e-07       5.084621489637e-08       1.939113776221e+41       2.253488990277e+44       2.253488990277e+44       7.511629967544e+43      -5.407395458014e+52       2.131176333793e-05       5.513713906017e+00 
