# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       3.410832687886e+01       8.185929753137e-02       2.421412763268e+03       2.633942871058e-02       1.166632789626e+04       3.322951827501e+02       4.095852532578e+05       6.418492370681e+02       4.180416997041e-06       1.070356514262e-04       5.796199603550e-04       3.759359733323e-08       2.891882424079e-06       6.937655047997e-04       6.937655047997e-04       2.319839543040e-06      -7.074497438180e-09       3.689376275971e-02       9.931512473209e-01 
       3.386385708067e+01       8.272913215382e-02       2.430743196773e+03       2.606388404065e-02       1.165699746275e+04       3.343576539962e+02       4.064078935312e+05       6.430457333177e+02       4.065189566069e-06       1.048152210508e-04       5.675958753981e-04       3.759359733323e-08       2.812171672105e-06       6.793260512845e-04       6.793260512845e-04       2.254860148725e-06      -6.855265436357e-09       3.715069460914e-02       9.931977834448e-01 
       3.362108956787e+01       8.360816257764e-02       2.440106613184e+03       2.579122851714e-02       1.164763404634e+04       3.364317585531e+02       4.032537815722e+05       6.442424769213e+02       3.953138206179e-06       1.026408527250e-04       5.558212258673e-04       3.759359733323e-08       2.734658027296e-06       6.651874684231e-04       6.651874684231e-04       2.191671813825e-06      -6.642828907140e-09       3.740942791160e-02       9.932439823428e-01 
       3.338001248752e+01       8.449648579290e-02       2.449503126686e+03       2.552143174212e-02       1.163823753284e+04       3.385175481558e+02       4.001227517119e+05       6.454394662607e+02       3.844175374207e-06       1.005115909148e-04       5.442908373513e-04       3.759359733323e-08       2.659280930016e-06       6.513434781676e-04       6.513434781676e-04       2.130225170741e-06      -6.436977152207e-09       3.766997529319e-02       9.932898459266e-01 
       3.314061406924e+01       8.539419981145e-02       2.458932851861e+03       2.525446363940e-02       1.162880780767e+04       3.406150745877e+02       3.970146394469e+05       6.466366997269e+02       3.738215939959e-06       9.842649990827e-05       5.329996427781e-04       3.759359733323e-08       2.585981489844e-06       6.377879337136e-04       6.377879337136e-04       2.070472212601e-06      -6.237506008353e-09       3.793234946836e-02       9.933353760871e-01 
       3.290288262458e+01       8.630140367776e-02       2.468395903696e+03       2.499029445104e-02       1.161934475583e+04       3.427243896779e+02       3.939292814314e+05       6.478341757199e+02       3.635177119697e-06       9.638466340418e-05       5.219426801887e-04       3.759359733323e-08       2.514702439567e-06       6.245148167495e-04       6.245148167495e-04       2.012366255755e-06      -6.044217644707e-09       3.819656324055e-02       9.933805746951e-01 
       3.266680654646e+01       8.721819747972e-02       2.477892397578e+03       2.472889473399e-02       1.160984826195e+04       3.448455452977e+02       3.908665154688e+05       6.490318926490e+02       3.534978411469e-06       9.438518410922e-05       5.111150905564e-04       3.759359733323e-08       2.445388090437e-06       6.115182347648e-04       6.115182347648e-04       1.955861903302e-06      -5.856920366245e-09       3.846262950280e-02       9.934254436007e-01 
       3.243237430865e+01       8.814468235966e-02       2.487422449300e+03       2.447023535673e-02       1.160031821023e+04       3.469785933578e+02       3.878261805038e+05       6.502298489326e+02       3.437541532210e-06       9.242718334384e-05       5.005121156515e-04       3.759359733323e-08       2.377984288667e-06       5.987924184135e-04       5.987924184135e-04       1.900915009626e-06      -5.675428423407e-09       3.873056123837e-02       9.934699846336e-01 
       3.219957446515e+01       8.908096052541e-02       2.496986175057e+03       2.421428749589e-02       1.159075448447e+04       3.491235858049e+02       3.848081166144e+05       6.514280429980e+02       3.342790356591e-06       9.050980065610e-05       4.901290959506e-04       3.759359733323e-08       2.312438373121e-06       5.863317189337e-04       5.863317189337e-04       1.847482645904e-06      -5.499561827618e-09       3.900037152134e-02       9.935141996026e-01 
       3.196839564964e+01       9.002713526154e-02       2.506583691452e+03       2.396102263305e-02       1.158115696807e+04       3.512805746190e+02       3.818121650041e+05       6.526264732815e+02       3.250650857536e-06       8.863219344353e-05       4.799614685890e-04       3.759359733323e-08       2.248699134173e-06       5.741306056215e-04       5.741306056215e-04       1.795523066570e-06      -5.329146172544e-09       3.927207351731e-02       9.935580902962e-01 
