# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:T_dmeff               13:cdmeff2               14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.260021680993e+02       1.173570094724e-02       1.180142610295e+03       1.804364098767e-01       1.311048713590e+04       1.032304198590e+02       1.665060291098e+06       4.340946351375e+02       7.158526087391e-04       5.066773166715e-03       2.627975466137e-02       1.258575905057e-03       1.807596491475e-11       3.815882481151e-08       4.948794135282e-04       3.255729800918e-02       3.255729800918e-02       4.035391819309e-04      -2.293505616899e-06       1.047824005834e-02       9.749017463925e-01 
       1.251178556138e+02       1.186267612100e-02       1.185069637924e+03       1.785320172861e-01       1.310556010827e+04       1.039151834964e+02       1.652845137473e+06       4.352255335895e+02       6.961220383059e-04       4.961669020421e-03       2.573461259805e-02       1.241110072263e-03       1.782511650976e-11       3.815882481151e-08       4.812393806424e-04       3.187368119624e-02       3.187368119624e-02       3.924156474913e-04      -2.222225216001e-06       1.054986732113e-02       9.750720756538e-01 
       1.242397001909e+02       1.199100573307e-02       1.190014549222e+03       1.766478769957e-01       1.310061519697e+04       1.046043321487e+02       1.640717119585e+06       4.363572013484e+02       6.769352802762e-04       4.858745089640e-03       2.520077862508e-02       1.223886613340e-03       1.757774913497e-11       3.815882481151e-08       4.679752932516e-04       3.120447244707e-02       3.120447244707e-02       3.815986990178e-04      -2.153161996346e-06       1.062199684562e-02       9.752412784686e-01 
       1.233676589669e+02       1.212070411910e-02       1.194977404798e+03       1.747837710606e-01       1.309565234140e+04       1.052978921545e+02       1.628675624344e+06       4.374896342933e+02       6.582773464141e-04       4.757956150524e-03       2.467801818063e-02       1.206902165009e-03       1.733381448619e-11       3.815882481151e-08       4.550767897684e-04       3.054936662616e-02       3.054936662616e-02       3.710798865694e-04      -2.086246923725e-06       1.069463215380e-02       9.754093618682e-01 
       1.225016893765e+02       1.225178576603e-02       1.199958265477e+03       1.729394839243e-01       1.309067148072e+04       1.059958899899e+02       1.616720042941e+06       4.386228283176e+02       6.401336615711e-04       4.659257917264e-03       2.416610156818e-02       1.190153410660e-03       1.709326492951e-11       3.815882481151e-08       4.425337941785e-04       2.990806510002e-02       2.990806510002e-02       3.608509930917e-04      -2.021413115932e-06       1.076777679236e-02       9.755763328453e-01 
       1.216417491504e+02       1.238426531360e-02       1.204957192304e+03       1.711148023916e-01       1.308567255389e+04       1.066983522702e+02       1.604849770819e+06       4.397567793299e+02       6.224900523014e-04       4.562607022633e-03       2.366480385558e-02       1.173637079701e-03       1.685605349193e-11       3.815882481151e-08       4.303365081712e-04       2.928027559751e-02       2.928027559751e-02       3.509040279994e-04      -1.958595775592e-06       1.084143433287e-02       9.757421983543e-01 
       1.207877963139e+02       1.251815755607e-02       1.209974246540e+03       1.693095156018e-01       1.308065549966e+04       1.074053057495e+02       1.593064207644e+06       4.408914832536e+02       6.053327357914e-04       4.467960998933e-03       2.317390477629e-02       1.157349946923e-03       1.662213385225e-11       3.815882481151e-08       4.184754034849e-04       2.866571207333e-02       2.866571207333e-02       3.412312209340e-04      -1.897732125074e-06       1.091560837193e-02       9.759069653110e-01 
       1.199397891841e+02       1.265347744375e-02       1.215009489663e+03       1.675234150031e-01       1.307562025653e+04       1.081167773216e+02       1.581362757276e+06       4.420269360268e+02       5.886483090932e-04       4.375278259341e-03       2.269318863257e-02       1.141288831867e-03       1.639146033198e-11       3.815882481151e-08       4.069412144652e-04       2.806409457430e-02       2.806409457430e-02       3.318250156946e-04      -1.838761343453e-06       1.099030253135e-02       9.760706405935e-01 
       1.190976863683e+02       1.279024008469e-02       1.220062983375e+03       1.657562943259e-01       1.307056676282e+04       1.088327940202e+02       1.569744827737e+06       4.431631336028e+02       5.724237386559e-04       4.284518079635e-03       2.222244420071e-02       1.125450598206e-03       1.616398788647e-11       3.815882481151e-08       3.957249308270e-04       2.747514910866e-02       2.747514910866e-02       3.226780643362e-04      -1.781624505437e-06       1.106552045837e-02       9.762332310416e-01 
       1.182614467620e+02       1.292846074637e-02       1.225134789595e+03       1.640079495578e-01       1.306549495660e+04       1.095533830197e+02       1.558209831186e+06       4.443000719497e+02       5.566463501451e-04       4.195640580302e-03       2.176146463827e-02       1.109832153130e-03       1.593967209608e-11       3.815882481151e-08       3.848177906170e-04       2.689860751816e-02       2.689860751816e-02       3.137832214292e-04      -1.726264522199e-06       1.114126582576e-02       9.763947434570e-01 
