# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 163.221 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       4.550532770055e-03      -1.673372566818e+00      -1.823551377328e+02      -1.824091576961e+02      -1.669595455754e+00      -1.823454645112e+02       4.173988639384e-01       4.173988639384e-01 
       4.669373026086e-03      -1.667698491279e+00      -1.912753488552e+02      -1.913334633972e+02      -1.663934192105e+00      -1.912663928738e+02       4.159835480264e-01       4.159835480264e-01 
       4.788491800896e-03      -1.662016072829e+00      -2.003974956980e+02      -2.004599643048e+02      -1.658264603005e+00      -2.003894130206e+02       4.145661507512e-01       4.145661507512e-01 
       4.907870964669e-03      -1.656327293415e+00      -2.097192925715e+02      -2.097863785379e+02      -1.652588665692e+00      -2.097122431498e+02       4.131471664229e-01       4.131471664229e-01 
       5.027493903171e-03      -1.650632900101e+00      -2.192381329409e+02      -2.193101030611e+02      -1.646907127613e+00      -2.192322804523e+02       4.117267819033e-01       4.117267819033e-01 
       5.147345372394e-03      -1.644934356243e+00      -2.289515695118e+02      -2.290286902324e+02      -1.641221447261e+00      -2.289470780873e+02       4.103053618152e-01       4.103053618152e-01 
       5.267411368582e-03      -1.639233536997e+00      -2.388571305513e+02      -2.389396759213e+02      -1.635533496412e+00      -2.388541714455e+02       4.088833741031e-01       4.088833741031e-01 
       5.387679011919e-03      -1.633531807057e+00      -2.489523378335e+02      -2.490405813328e+02      -1.629844637007e+00      -2.489510825782e+02       4.074611592518e-01       4.074611592518e-01 
       5.508136442378e-03      -1.627830939940e+00      -2.592347764396e+02      -2.593290003102e+02      -1.624156638742e+00      -2.592354046452e+02       4.060391596854e-01       4.060391596854e-01 
       5.628772726370e-03      -1.622132020550e+00      -2.697020214507e+02      -2.698025168908e+02      -1.618470583759e+00      -2.697047209715e+02       4.046176459397e-01       4.046176459397e-01 
       5.749577773000e-03      -1.616435862536e+00      -2.803515204040e+02      -2.804585907876e+02      -1.612787284425e+00      -2.803564900756e+02       4.031968211062e-01       4.031968211062e-01 
       5.870542258865e-03      -1.610744530493e+00      -2.911809565004e+02      -2.912949223089e+02      -1.607108801198e+00      -2.911884102012e+02       4.017772002995e-01       4.017772002995e-01 
       5.991657560450e-03      -1.605056950365e+00      -3.021879037034e+02      -3.023091039121e+02      -1.601434059741e+00      -3.021980715493e+02       4.003585149353e-01       4.003585149353e-01 
       6.112915693289e-03      -1.599375331982e+00      -3.133699853622e+02      -3.134987731769e+02      -1.595765266538e+00      -3.133831101191e+02       3.989413166345e-01       3.989413166345e-01 
       6.234309257161e-03      -1.593700858995e+00      -3.247247635662e+02      -3.248615181133e+02      -1.590103602816e+00      -3.247411104662e+02       3.975259007040e-01       3.975259007040e-01 
       6.355831386653e-03      -1.588033503087e+00      -3.362498838193e+02      -3.363949992432e+02      -1.584449040007e+00      -3.362697313970e+02       3.961122600018e-01       3.961122600018e-01 
       6.477475706524e-03      -1.582374248957e+00      -3.479429335457e+02      -3.480968245693e+02      -1.578802560972e+00      -3.479665783168e+02       3.947006402431e-01       3.947006402431e-01 
       6.599236291355e-03      -1.576723575858e+00      -3.598016770068e+02      -3.599647721554e+02      -1.573164643264e+00      -3.598294277350e+02       3.932911608159e-01       3.932911608159e-01 
       6.721107629027e-03      -1.571082328871e+00      -3.718238833509e+02      -3.719966188267e+02      -1.567536129929e+00      -3.718560559126e+02       3.918840324823e-01       3.918840324823e-01 
       6.843084587634e-03      -1.565451404649e+00      -3.840069414642e+02      -3.841897723691e+02      -1.561917917940e+00      -3.840438683700e+02       3.904794794850e-01       3.904794794850e-01 
       6.965162385466e-03      -1.559830462828e+00      -3.963489522914e+02      -3.965423291825e+02      -1.556309664212e+00      -3.963909628205e+02       3.890774160531e-01       3.890774160531e-01 
       7.087336563750e-03      -1.554219407234e+00      -4.088474271401e+02      -4.090518191943e+02      -1.550711273095e+00      -4.088948669338e+02       3.876778182738e-01       3.876778182738e-01 
       7.209602961865e-03      -1.548621030379e+00      -4.215000501029e+02      -4.217159249860e+02      -1.545125534842e+00      -4.215532642412e+02       3.862813837105e-01       3.862813837105e-01 
       7.331957694789e-03      -1.543032983639e+00      -4.343047446546e+02      -4.345325803501e+02      -1.539550101014e+00      -4.343640874955e+02       3.848875252534e-01       3.848875252534e-01 
       7.454397132541e-03      -1.537455851024e+00      -4.472598360484e+02      -4.475001148419e+02      -1.533985551494e+00      -4.473256660653e+02       3.834963878734e-01       3.834963878734e-01 
       7.576917881437e-03      -1.531893379986e+00      -4.603620526619e+02      -4.606152707865e+02      -1.528435636517e+00      -4.604347410134e+02       3.821089091292e-01       3.821089091292e-01 
       7.699516766966e-03      -1.526343428303e+00      -4.736096269822e+02      -4.738762961565e+02      -1.522898212777e+00      -4.736895583426e+02       3.807245531943e-01       3.807245531943e-01 
       7.822190818144e-03      -1.520806377028e+00      -4.870004809224e+02      -4.872811227362e+02      -1.517373659995e+00      -4.870880488711e+02       3.793434149987e-01       3.793434149987e-01 
       7.944937253195e-03      -1.515282552976e+00      -5.005323462310e+02      -5.008275050251e+02      -1.511862304694e+00      -5.006279641050e+02       3.779655761736e-01       3.779655761736e-01 
