# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)A_nudm[0]          15:(.)rho_ncdm[1]        16:(.)p_ncdm[1]          17:(.)A_nudm[1]          18:(.)rho_ncdm[2]        19:(.)p_ncdm[2]          20:(.)A_nudm[2]          21:(.)rho_lambda         22:(.)rho_ur             23:(.)rho_crit           24:(.)rho_tot            25:(.)p_tot              26:(.)p_tot_prime        27:gr.fac. D             28:gr.fac. f          
       5.777908965470e+09       2.264092768974e-17       8.021748726605e-05       7.202805752599e+13       1.424866269582e+04       2.466058703677e-06       8.232747595037e+13       4.631358652297e-05       3.066633334312e+27       4.771007969659e+20       2.474571385073e+21       7.056468364203e+26       2.352156121401e+26      -6.626446853252e+12       7.056468364203e+26       2.352156121401e+26      -6.626446853252e+12       7.056468364203e+26       2.352156121401e+26      -6.626446853252e+12       3.801735975007e-08       4.464275721848e+24       5.188041070967e+27       5.188041070967e+27       1.729346039765e+27      -8.623288235060e+31       1.161749708817e-04       1.024714076084e-01 
       5.737744752158e+09       2.295901005270e-17       8.077900929493e-05       7.103015502053e+13       1.424866269526e+04       2.483321114522e-06       8.175518961922e+13       4.663778157299e-05       2.982249468946e+27       4.672203284144e+20       2.423324510400e+21       6.862297098358e+26       2.287432366119e+26      -6.534641672306e+12       6.862297098358e+26       2.287432366119e+26      -6.534641672306e+12       6.862297098358e+26       2.287432366119e+26      -6.534641672306e+12       3.801735975007e-08       4.341433242685e+24       5.045282922241e+27       5.045282922241e+27       1.681760010565e+27      -8.327709188671e+31       1.162580128647e-04       1.023982190331e-01 
       5.697859733973e+09       2.328156115413e-17       8.134446215990e-05       7.004607781476e+13       1.424866269469e+04       2.500704362242e-06       8.118688144529e+13       4.696424598759e-05       2.900187575579e+27       4.575444783825e+20       2.373138927463e+21       6.673468799920e+26       2.224489599973e+26      -6.444108393396e+12       6.673468799920e+26       2.224489599973e+26      -6.444108393396e+12       6.673468799920e+26       2.224489599973e+26      -6.444108393396e+12       3.801735975007e-08       4.221970992618e+24       4.906453017231e+27       4.906453017231e+27       1.635483395516e+27      -8.042261657224e+31       1.163410548523e-04       1.023251349795e-01 
       5.658251970135e+09       2.360864377533e-17       8.191387314582e-05       6.907563436798e+13       1.424866269412e+04       2.518209292695e-06       8.062252377505e+13       4.729299565229e-05       2.820383761025e+27       4.480690093446e+20       2.323992657554e+21       6.489836447645e+26       2.163278815882e+26      -6.354829395133e+12       6.489836447645e+26       2.163278815882e+26      -6.354829395133e+12       6.489836447645e+26       2.163278815882e+26      -6.354829395133e+12       3.801735975007e-08       4.105795958636e+24       4.771443263339e+27       4.771443263339e+27       1.590480163759e+27      -7.766598364427e+31       1.164240968447e-04       1.022521552242e-01 
       5.618919533355e+09       2.394032157962e-17       8.248727135651e-05       6.811863579320e+13       1.424866269355e+04       2.535836757659e-06       8.006208914720e+13       4.762404656384e-05       2.742775890233e+27       4.387897715317e+20       2.275864177130e+21       6.311257065843e+26       2.103752355281e+26      -6.266787300262e+12       6.311257065843e+26       2.103752355281e+26      -6.266787300262e+12       6.311257065843e+26       2.103752355281e+26      -6.266787300262e+12       3.801735975007e-08       3.992817687147e+24       4.640148542327e+27       4.640148542327e+27       1.546715275891e+27      -7.500383937518e+31       1.165071388418e-04       1.021792795445e-01 
       5.579860509740e+09       2.427665912470e-17       8.306468225783e-05       6.717489582033e+13       1.424866269297e+04       2.553587614878e-06       7.950555029135e+13       4.795741483096e-05       2.667303537909e+27       4.297027011138e+20       2.228732408386e+21       6.137591613051e+26       2.045863871017e+26      -6.179964972277e+12       6.137591613051e+26       2.045863871017e+26      -6.179964972277e+12       6.137591613051e+26       2.045863871017e+26      -6.179964972277e+12       3.801735975007e-08       3.882948213551e+24       4.512466628473e+27       4.512466628473e+27       1.504154656679e+27      -7.243294499253e+31       1.165901808438e-04       1.021065077184e-01 
       5.541072998702e+09       2.461772187525e-17       8.364613495360e-05       6.624423075994e+13       1.424866269239e+04       2.571462728095e-06       7.895288012665e+13       4.829311667512e-05       2.593907941467e+27       4.208038184207e+20       2.182576710027e+21       5.968704873783e+26       1.989568291261e+26      -6.094345512089e+12       5.968704873783e+26       1.989568291261e+26      -6.094345512089e+12       5.968704873783e+26       1.989568291261e+26      -6.094345512089e+12       3.801735975007e-08       3.776101993750e+24       4.388298108976e+27       4.388298108976e+27       1.462765168532e+27      -6.995017273877e+31       1.166732228506e-04       1.020338395245e-01 
       5.502555112865e+09       2.496357621568e-17       8.423165672866e-05       6.532645946747e+13       1.424866269180e+04       2.589462967104e-06       7.840405176051e+13       4.863116843136e-05       2.522531955279e+27       4.120892261986e+20       2.137376868227e+21       5.804465353243e+26       1.934821784414e+26      -6.009912254735e+12       5.804465353243e+26       1.934821784414e+26      -6.009912254735e+12       5.804465353243e+26       1.934821784414e+26      -6.009912254735e+12       3.801735975007e-08       3.672195837544e+24       4.267546306555e+27       4.267546306555e+27       1.422514585696e+27      -6.755250206598e+31       1.167562648623e-04       1.019612747419e-01 
       5.464304977972e+09       2.531428946302e-17       8.482127850584e-05       6.442140330804e+13       1.424866269121e+04       2.607589207785e-06       7.785903848729e+13       4.897158654903e-05       2.453120006180e+27       4.035551079034e+20       2.093113087776e+21       5.644745174951e+26       1.881581724984e+26      -5.926648766132e+12       5.644745174951e+26       1.881581724984e+26      -5.926648766132e+12       5.644745174951e+26       1.881581724984e+26      -5.926648766132e+12       3.801735975007e-08       3.571148843859e+24       4.150117204177e+27       4.150117204177e+27       1.383371569170e+27      -6.523701596108e+31       1.168393068789e-04       1.018888131505e-01 
       5.426320732795e+09       2.566992988002e-17       8.541502756998e-05       6.352888612162e+13       1.424866269062e+04       2.625842332149e-06       7.731781378696e+13       4.931438759267e-05       2.385618050200e+27       3.951977260293e+20       2.049765983409e+21       5.489419981174e+26       1.829806660391e+26      -5.844538839884e+12       5.489419981174e+26       1.829806660391e+26      -5.844538839884e+12       5.489419981174e+26       1.829806660391e+26      -5.844538839884e+12       3.801735975007e-08       3.472882337757e+24       4.035919371853e+27       4.035919371853e+27       1.345305642297e+27      -6.300089739697e+31       1.169223489005e-04       1.018164545307e-01 
       5.388600529045e+09       2.603056668850e-17       8.601293302490e-05       6.264873418876e+13       1.424866269002e+04       2.644223228383e-06       7.678035132388e+13       4.965958824274e-05       2.319973530484e+27       3.870134204723e+20       2.007316571320e+21       5.338368836104e+26       1.779456278701e+26      -5.763566494122e+12       5.338368836104e+26       1.779456278701e+26      -5.763566494122e+12       5.338368836104e+26       1.779456278701e+26      -5.763566494122e+12       3.801735975007e-08       3.377319809182e+24       3.924863895454e+27       3.924863895454e+27       1.308287167041e+27      -6.084142590534e+31       1.170053909270e-04       1.017441986637e-01 
       5.351142531279e+09       2.639627008272e-17       8.661502215546e-05       6.178077619681e+13       1.424866268942e+04       2.662732790889e-06       7.624662494545e+13       5.000720529648e-05       2.256135336373e+27       3.789986069265e+20       1.965746260847e+21       5.191474131696e+26       1.730491377232e+26      -5.683715968396e+12       5.191474131696e+26       1.730491377232e+26      -5.683715968396e+12       5.191474131696e+26       1.730491377232e+26      -5.683715968396e+12       3.801735975007e-08       3.284386853387e+24       3.816864307480e+27       3.816864307480e+27       1.272287320912e+27      -5.875597426691e+31       1.170884329586e-04       1.016720453312e-01 
       5.313944916814e+09       2.676711124315e-17       8.722132770345e-05       6.092484320651e+13       1.424866268881e+04       2.681371920331e-06       7.571660868087e+13       5.035725566869e-05       2.194053763609e+27       3.711497753150e+20       1.925036846326e+21       5.048621496100e+26       1.682873832033e+26      -5.604971720608e+12       5.048621496100e+26       1.682873832033e+26      -5.604971720608e+12       5.048621496100e+26       1.682873832033e+26      -5.604971720608e+12       3.801735975007e-08       3.194011113006e+24       3.711836519738e+27       3.711836519738e+27       1.237278074517e+27      -5.674200531519e+31       1.171714749953e-04       1.015999943154e-01 
       5.277005875638e+09       2.714316235023e-17       8.783187695371e-05       6.008076861917e+13       1.424866268820e+04       2.700141523678e-06       7.519027673988e+13       5.070975639260e-05       2.133680475632e+27       3.634634882526e+20       1.885170499124e+21       4.909699704609e+26       1.636566568203e+26      -5.527318423985e+12       4.909699704609e+26       1.636566568203e+26      -5.527318423985e+12       4.909699704609e+26       1.636566568203e+26      -5.527318423985e+12       3.801735975007e-08       3.106122221711e+24       3.609698757871e+27       3.609698757871e+27       1.203232169746e+27      -5.479706884972e+31       1.172545170371e-04       1.015280453994e-01 
       5.240323610319e+09       2.752449659850e-17       8.844670082908e-05       5.924838814422e+13       1.424866268759e+04       2.719042514247e-06       7.466760351148e+13       5.106472462065e-05       2.074968465953e+27       3.559363795400e+20       1.846129759827e+21       4.774600593064e+26       1.591533531021e+26      -5.450740964097e+12       4.774600593064e+26       1.591533531021e+26      -5.450740964097e+12       4.774600593064e+26       1.591533531021e+26      -5.450740964097e+12       3.801735975007e-08       3.020651749432e+24       3.510371497688e+27       3.510371497688e+27       1.170123098541e+27      -5.291879865519e+31       1.173375590840e-04       1.014561983667e-01 
       5.203896335920e+09       2.791118821078e-17       8.906582661439e-05       5.842753976721e+13       1.424866268697e+04       2.738075811749e-06       7.414856356273e+13       5.142217762536e-05       2.017872021547e+27       3.485651526901e+20       1.807897530597e+21       4.643218973634e+26       1.547739657878e+26      -5.375224435914e+12       4.643218973634e+26       1.547739657878e+26      -5.375224435914e+12       4.643218973634e+26       1.547739657878e+26      -5.375224435914e+12       3.801735975007e-08       2.937533149071e+24       3.413777403249e+27       3.413777403249e+27       1.137925082262e+27      -5.110490962264e+31       1.174206011361e-04       1.013844530015e-01 
       5.167722279914e+09       2.830331245267e-17       8.968928705144e-05       5.761806371831e+13       1.424866268634e+04       2.757242342331e-06       7.363313163745e+13       5.178213280015e-05       1.962346687264e+27       3.413465794838e+20       1.770457067678e+21       4.515452552916e+26       1.505150850972e+26      -5.300754140906e+12       4.515452552916e+26       1.505150850972e+26      -5.300754140906e+12       4.515452552916e+26       1.505150850972e+26      -5.300754140906e+12       3.801735975007e-08       2.856701704694e+24       3.319841266647e+27       3.319841266647e+27       1.106613051615e+27      -4.935319496942e+31       1.175036431935e-04       1.013128090886e-01 
       5.131799682092e+09       2.870094564717e-17       9.031711306307e-05       5.681980244120e+13       1.424866268572e+04       2.776543038627e-06       7.312128265505e+13       5.214460766020e-05       1.908349231218e+27       3.342774985567e+20       1.733791974071e+21       4.391201852296e+26       1.463733950765e+26      -5.227315584181e+12       4.391201852296e+26       1.463733950765e+26      -5.227315584181e+12       4.391201852296e+26       1.463733950765e+26      -5.227315584181e+12       3.801735975007e-08       2.778094481141e+24       3.228489949458e+27       3.228489949458e+27       1.076162627129e+27      -4.766152355444e+31       1.175866852561e-04       1.012412664134e-01 
       5.096126794484e+09       2.910416518952e-17       9.094933193410e-05       5.603260056241e+13       1.424866268508e+04       2.795978839795e-06       7.261299170927e+13       5.250961984330e-05       1.855837611125e+27       3.273548140142e+20       1.697886192346e+21       4.270370130486e+26       1.423456710162e+26      -5.154894471667e+12       4.270370130486e+26       1.423456710162e+26      -5.154894471667e+12       4.270370130486e+26       1.423456710162e+26      -5.154894471667e+12       3.801735975007e-08       2.701650275022e+24       3.139652325786e+27       3.139652325786e+27       1.046550100182e+27      -4.602783728537e+31       1.176697273240e-04       1.011698247619e-01 
       5.060701881268e+09       2.951304956231e-17       9.158597822534e-05       5.525630486104e+13       1.424866268445e+04       2.815550691570e-06       7.210823406699e+13       5.287718711068e-05       1.804770941567e+27       3.205754940759e+20       1.662723997614e+21       4.152863308210e+26       1.384287769403e+26      -5.083476707325e+12       4.152863308210e+26       1.384287769403e+26      -5.083476707325e+12       4.152863308210e+26       1.384287769403e+26      -5.083476707325e+12       3.801735975007e-08       2.627309567070e+24       3.053259226896e+27       3.053259226896e+27       1.017752414532e+27      -4.445014861476e+31       1.177527693973e-04       1.010984839208e-01 
       5.025523218690e+09       2.992767835072e-17       9.222707922163e-05       5.449076423900e+13       1.424866268381e+04       2.835259546306e-06       7.160698516701e+13       5.324732734794e-05       1.755109462163e+27       3.139365697476e+20       1.628289990639e+21       4.038589894949e+26       1.346196631650e+26      -5.013048390408e+12       4.038589894949e+26       1.346196631650e+26      -5.013048390408e+12       4.038589894949e+26       1.346196631650e+26      -5.013048390408e+12       3.801735975007e-08       2.555014475794e+24       2.969243387350e+27       2.969243387350e+27       9.897471483745e+26      -4.292653812203e+31       1.178358114760e-04       1.010272436772e-01 
