# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.091445171151e+08       6.344941328890e-14       4.246535403581e-03       2.570220887612e+10       1.429058856995e+04       1.309327194508e-04       1.559739403048e+12       2.451734571817e-03       3.904692002298e+20       3.215909658977e+15       1.667990929735e+16       3.815882356171e-08       2.701144450632e+20       6.606035411120e+20       6.606035411120e+20       2.201945484310e+20      -2.074125709618e+23       1.603604790720e-04       7.288183780662e-02 
       1.083858163536e+08       6.434080962180e-14       4.276260926417e-03       2.534612387232e+10       1.429058854023e+04       1.318492482610e-04       1.548897119397e+12       2.468896557910e-03       3.797247458056e+20       3.149310114243e+15       1.633447846029e+16       3.815882356171e-08       2.626817657570e+20       6.424259953512e+20       6.424259953512e+20       2.141355038542e+20      -2.003031444029e+23       1.604420058025e-04       7.284511222860e-02 
       1.076323895796e+08       6.524472908715e-14       4.306194527089e-03       2.499497217995e+10       1.429058851029e+04       1.327721927697e-04       1.538130204152e+12       2.486178675715e-03       3.692759441483e+20       3.084089805791e+15       1.599620128690e+16       3.815882356171e-08       2.554536098369e+20       6.247486342763e+20       6.247486342763e+20       2.082431846617e+20      -1.934374059428e+23       1.605235328795e-04       7.280842611764e-02 
       1.068842001317e+08       6.616134762046e-14       4.336337657151e-03       2.464868545125e+10       1.429058848015e+04       1.337015978867e-04       1.527438133402e+12       2.503581766124e-03       3.591146598463e+20       3.020220170473e+15       1.566492962913e+16       3.815882356171e-08       2.484243494785e+20       6.075576944745e+20       6.075576944745e+20       2.025130031082e+20      -1.868070027395e+23       1.606050603057e-04       7.277177943007e-02 
       1.061412116034e+08       6.709084362887e-14       4.366691788164e-03       2.430719628540e+10       1.429058844980e+04       1.346375088363e-04       1.516820386878e+12       2.521106675913e-03       3.492329813484e+20       2.957673236666e+15       1.534051840700e+16       3.815882356171e-08       2.415885117167e+20       5.908397912567e+20       5.908397912567e+20       1.969404976884e+20      -1.804038682595e+23       1.606865880838e-04       7.273517212242e-02 
       1.054033878416e+08       6.803339802595e-14       4.397258393510e-03       2.397043821535e+10       1.429058841923e+04       1.355799711593e-04       1.506276447927e+12       2.538754257787e-03       3.396232148040e+20       2.896421612021e+15       1.502282554503e+16       3.815882356171e-08       2.349407741850e+20       5.745819082361e+20       5.745819082361e+20       1.915213296630e+20      -1.742202124643e+23       1.607681162162e-04       7.269860415141e-02 
       1.046706929440e+08       6.898919426688e-14       4.428038962942e-03       2.363834569494e+10       1.429058838845e+04       1.365290307151e-04       1.495805803487e+12       2.556525370418e-03       3.302778780722e+20       2.836438471470e+15       1.471171191005e+16       3.815882356171e-08       2.284759609712e+20       5.587713871937e+20       5.587713871937e+20       1.862512796811e+20      -1.682485123328e+23       1.608496447058e-04       7.266207547399e-02 
       1.039430912582e+08       6.995841838414e-14       4.459034991669e-03       2.331085408609e+10       1.429058835745e+04       1.374847336844e-04       1.485407944062e+12       2.574420878489e-03       3.211896948966e+20       2.777697545475e+15       1.440704125026e+16       3.815882356171e-08       2.221890385874e+20       5.433959182228e+20       5.433959182228e+20       1.811262444947e+20      -1.624815027088e+23       1.609311735552e-04       7.262558604734e-02 
       1.032205473795e+08       7.094125902374e-14       4.490247989452e-03       2.298789964622e+10       1.429058832624e+04       1.384471265711e-04       1.475082363701e+12       2.592441652735e-03       3.123515892401e+20       2.720173108524e+15       1.410868013553e+16       3.815882356171e-08       2.160751120512e+20       5.284435301446e+20       5.284435301446e+20       1.761422337638e+20      -1.569121674624e+23       1.610127027671e-04       7.258913582881e-02 
       1.025030261495e+08       7.193790748194e-14       4.521679475147e-03       2.266941951589e+10       1.429058829481e+04       1.394162562045e-04       1.464828559965e+12       2.610588569985e-03       3.037566797750e+20       2.663839967865e+15       1.381649789900e+16       3.815882356171e-08       2.101294210744e+20       5.139025811873e+20       5.139025811873e+20       1.712953669498e+20      -1.515337309541e+23       1.610942323442e-04       7.255272477600e-02 
